Food_ID,Name,C_Type,Veg_Non,Describe
237,double chocolate easter cookies,Dessert,veg,"Butter, Brown Sugar, Castor Sugar, Vanilla Essence, Dark Chocolate, Refined Flour, Cocoa Powder, Baking Soda, Salt, Milk, Cadbury Gems"
238,Ramatori subji,Indian,veg,a spicy side dish made with any two Vegetables i.e. potatoes and cabbage
239,homemade gulab jamun,Dessert,veg,"sugar, water, milk, cardamom seeds, saffron, cardamom powder, khoya, baking soda, maida, milk"
240,Pasta e Fagioli,Italian,veg,"Pasta e Fagioli is a hearty soup made with pasta, beans, Vegetables, and sometimes meat."
241,Hot Yellow Curry with Vegetables,Thai,veg,"This is the stuff dreams are made of. Impress your guests no end with this ambrosial Thai yellow curry, cooked with coconut and Vegetables. Spicy, easy and nothing short of spectacular"
242,Samosa,Indian,veg,"Normally served as an entree or appetiser. Potatoes, onions, peas, coriander, and lentils, may be served with a mint or tamarind sauce"
243,Triple Schezwan Rice,Chinese,non-veg,"Rice stirfried with Schezwan sauce, Vegetables, and chicken."
244,jalebi with fennel yogurt pudding,Dessert,veg,"all purpose flour, yogurt, oil, sugar, water, saffron, green cardamom, yogurt (strained), milk (warm), sugar, nutmeg, cardamom powder"
245,Arancini,Italian,non-veg,"fried rice balls stuffed with cheese, meat"
246,christmas dry fruit cake,Dessert,veg,"butter (at room temperature), dark brown sugar, eggs, flour, salt, all spice powder, cinnamon, nutmeg, currants; golden raisins; dark raisins (each), soft dried figs, dates (pitted), prunes (stoned dried), apricots (dried), almonds (chopped), brandy, instant espresso (mixed with 1 tbsp water)"
247,Kothamali sadam,Indian,veg,Coriander rice
248,Red beans and rice,American,non-veg,"A dish made with red beans, rice, and various spices, often associated with Louisiana Creole cuisine with chicken and meat added"
249,Gobi 65,Chinese,veg,Deepfried cauliflower florets marinated in spicy sauce.
250,Sattu ki roti,Indian,veg,a dish from Bihar
251,lemon poppy seed cake,Dessert,veg,"Flour, Baking Powder, Salt, Castor Sugar, Baking Soda, Eggs, Butter, Vanilla Essence, Lemon Juice, Poppy, Lemon Peel, Lemon Syrup, Wiped Cream, Fresh Berry"
252,Veg Fried Wontons,Chinese,veg,A fried snack made with Vegetables wrapped in a thin dough.
253,double chocolate easter cookies,Dessert,veg,"Butter, Brown Sugar, Castor Sugar, Vanilla Essence, Dark Chocolate, Refined Flour, Cocoa Powder, Baking Soda, Salt, Milk, Cadbury Gems"
254,Masala Dosa,Indian,veg,Dosa with masala and potato.
255,Shahi paneer,Indian,veg,"A popular Indian, as well as Punjabi and Nepalese dish, made with paneer in a thick cream and tomato gravy and spices"
256,apple kheer,Dessert,veg,"apples, basmati rice, nuscovado sugar (you can also use normal sugar), cashew nuts and almonds, cassia bark or cinnamon stick, red grapes"
257,ragi oats ladoo (laddu),Dessert,veg,"ragi flour, oats flour, dates (ripe), milk, honey, ghee, green cardamom powder, white sesame seeds, coconut powder, cashew nuts"
258,Singhada halwa,Indian,veg,Lotus fruit dried and powdered to make this fasting Veg meat
259,ragi coconut ladoo (laddu),Dessert,veg,"finger millet flour (ragi), jaggery, peanuts, coconut, salt"
260,Veg pethas / kesar petha / pista petha,Indian,veg,A ravioli like dessert stuffed with a choice of fillings and equally popular in various parts of India and Pakistan
261,Vegetable jalfrezi,Indian,veg,Meat and spices fried in a pan. Can be Veg as well.
262,Tandoori Chicken,Indian,non-veg,Tandoori chicken as a dish originated in the Punjab before the independence of India and Pakistan.
263,Tamatar/Tomato Chaat,Indian,veg,Tamatar Chaat is a Indian street food which is most popular in north India specially in Varanasi.
264,Cannoli,Italian,veg,a dessert pastry filled with Veg ricotta cheese
265,Chocolate chip cookies,American,veg,Cookies made with chocolate chips
266,Cheeseburger,American,non-veg,A hamburger topped with cheese
267,red velvet banana pudding,Dessert,veg,"one can of sweetened condensed milk, ice cold water, instant vanilla pudding mix, cream cheese (softened and cut into 8 pieces), heavy cream, one 9 x 13 inch layer of red velvet cakcake, ripe bananas, mini chocolate chips, sugar, cocoa, cake flour, baking soda, salt, butter (room temp cut into 1 inch pieces), eggs, milk, sour cream, cider vinegar, vanilla extract, red food coloring, all-purpose flour, milk, unsalted butter (room temperature), sugar, vanilla extract"
268,baked wild berry cheesecake,Dessert,veg,"butter, digestive biscuits, berries, cream cheese, castor sugar, vanilla extract, egg (lightly beaten), icing sugar"
269,spiced orange valencia cake,Dessert,veg,"egg whites, egg white powder, sugar, almond powder, hazelnut powder, sugar, hazelnut (toasted)"
270,Saltimbocca alla Sorrentina,Italian,non-veg,"Saltimbocca alla Sorrentina is a dish made with veal cutlets, prosciutto, and mozzarella cheese, cooked in a tomato sauce."
271,Crab cakes,American,non-veg,Cakes made with crab meat and spices
272,chocolate marquise,Dessert,veg,"dark chocolate (melted), castor sugar, egg yolk, egg, cocoa powder, coffee, cream, berries, dark chocolate, fresh cream"
273,Tiramisu,Italian,veg,"Tiramisu is a popular Italian dessert made with ladyfingers, mascarpone cheese, espresso, and cocoa powder."
274,Meatloaf,American,non-veg,"A dish made with ground beef and other ingredients, baked in a loaf shape"
275,Spaghetti alle Vongole,Italian,non-veg,"Spaghetti alle Vongole is a popular pasta dish made with clams, garlic, white wine, and chili flakes."
276,Nandu omelette,Indian,non-veg,an omelette with pieces of crab and spices
277,microwave chocolate cake,Dessert,veg,"Flour, castor or powdered sugar, oil, butter or margarine, cocoa powder, water, vanilla essence, baking soda, baking powder, salt, egg"
278,white chocolate and lemon pastry,Dessert,veg,"White chocolate, fresh cream, VIP cream, vanilla bean, vanilla extract, cream cheese, gelatin, lemon, egg yolks, butter, castor sugar"
279,Pachadi,Indian,veg,"Side dish made with yoghurt, coconut, ginger and curry leaves and seasoned with mustard."
280,Pulled pork sandwich,American,non-veg,A sandwich made with slowcooked pulled pork and BBQ sauce
281,Parotta,Indian,veg,a layered kerala parotta made with maida and dalda.
282,Paruppu sadam,Indian,veg,Daal rice
283,Gobi Manchurian,Chinese,veg,Cauliflower florets fried and served in a spicy sauce.
284,Payasam,Indian,veg,"Rice dessert. Rice, milk."
285,Pongal,Indian,veg,Pulao
286,Arancini,Italian,veg,fried rice balls stuffed with cheeseVegetables
287,Pasta e Fagioli,Italian,veg,a pasta and bean soup
288,Ravioli,Italian,veg,"pasta pockets filled with cheese, Vegetables, served with various sauces"
289,Tandoori Fish Tikka,Indian,non-veg,Fish marinated in lime and ginger and cooked over an open fire.
290,Aval kesari,Indian,veg,roasted flat rice flour cooked with sugar and dry fruits.
291,Avial,Indian,veg,"Coconut paste, curd mixed with Vegetables and some spices."
292,Baida roti,Indian,non-veg,fried minced chicken stuffed in Egg roll
293,Halwa,Indian,veg,Maida or Sugarcane fritters which are known as Halwa in South India India and
294,Bhajji,Indian,veg,Vegetable or onion fritters which are known as Pakodas in North India and Pakistani cuisine
295,Biryani,Indian,veg,Spicy rice dish with Vegetables.
296,Bonda,Indian,veg,"Snack. Potatoes, gram flour."
297,Chettinadu Chicken,Indian,non-veg,Dish made chicken and spices
298,Hakka Noodles,Chinese,veg,"Noodles tossed with Vegetables, soy sauce, and vinegar."
299,Chicken 65,Indian,non-veg,"Popular deep fried chicken preparation. Chicken, onion, ginger"
300,Poriyal,Indian,veg,"Side dish for rice prepared from one or more Vegetables. Oil stirred, with daal half boiled and coconut / mustard seeds."
301,"Puli sadam, Puliogre, Puliohara",Indian,veg,Tamarind rice
302,Hot and Sour Soup,Chinese,veg,A soup made with Vegetables and a spicy broth.
303,Rasam,Indian,veg,"A spicy and sour soup usually made with tamarind, tomatoes, pepper and other south Indian spices. Usually eaten with rice."
304,Currivepillai sadam (Tamil Nadu),Indian,veg,Curry leaves and rice
305,Veg Hakka Noodles,Chinese,veg,"Noodles tossed with Vegetables, soy sauce, and vinegar."
306,Pecan pie,American,veg,"A pie made with pecans, corn syrup, and sugar"
307,Dosa,Indian,veg,"Pancake/Hopper. Ground rice, urad dal"
308,Double ka meetha,Indian,veg,Bread crumbs fried in ghee and dipped in milk and sugar syrup
309,Banana pudding,American,veg,"A dessert made with bananas, vanilla pudding, and vanilla wafers"
